rank,spine_id,name,ktcda_name,custodian,corporation,ward,footprint_ha,season,clear_passes,need_class,need_reason,condition_band,condition_inputs,stakes,tractability,urgency,programme,programme_detail,programme_source_class,kspcb_class,need_index,confidence,W1,W2,W2_band,Q1,Q1_p7,W2_p7,H2,B1,B1_change_2019,froth_events_per_year_2019_25,custody_lakes_downstream,buildings_in_catchment,cascade_position,boundary_confidence,flags,band_notes
107,gba-bbmp-130,Bheemanakuppa Lake,Bhimana kuppe,BBMP,,,39.83,monsoon (Jun-Sep) 2026,7,Watch / verify,steady; monitor,C,C1=C C3=A(A/B) C4=C(B/C) C5=C(B/C) C8=A,High,High,Steady,none,,,,1.75,low,0.579,0.2237,0.0641,0.1009,87.0,66.7,0.615,0.0019,-0.006,0.29,0,2167,7,medium,,C3 candidates A/B; C4 candidates B/C; C5 candidates B/C
108,gba-bda-005,Chikkabanavara lake,Chikkabanavara lake,BDA,,,33.87,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=C(C/D) C3=A(A/B) C4=D(D/E) C5=C C8=A G2=D,High,High,Steady,none,,,D,1.75,low,0.5352,0.3723,0.0675,0.1562,29.2,88.5,0.56,0.005,0.005,0.14,0,12535,6,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates D/E
109,gba-bbmp-143,Allalasandra lake,Allalasandra lake,BBMP,North,Nyayanga Badavane,15.98,monsoon (Jun-Sep) 2026,6,Watch / verify,"chlorophyll proxy 0.21 alone, not a verdict",C,C1=C C3=A(A/B) C4=B(A/B/C) C5=D(B/D) C8=B G2=E,High (lifted: cascade),High,Steady,none,,,E,1.75,low,0.59,0.1697,0.0708,0.2083,15.8,23.7,0.609,0.0082,0.008,0.86,2,5245,1,medium,,"C3 candidates A/B; C4 candidates A/B/C; C5 candidates B/D; single severe input G2: flagged for a closer read, not a verdict"
110,gba-bbmp-107,Mallathahalli lake,Mallathahalli lake,BBMP,West,Ullal,13.86,monsoon (Jun-Sep) 2026,4,Watch / verify,"vegetation 66% alone, not a verdict",C,C1=D(D/E) C3=B(A/B) C4=E C5=C(B/C) C8=B G2=D,High (lifted: cascade),High,Steady,none,,,D,1.75,low,0.2604,0.6604,0.077,0.1022,36.4,46.7,0.339,0.0154,0.015,0.71,1,9312,1,medium,,"C1 candidates D/E; C3 candidates A/B; C5 candidates B/C; single severe input C4: flagged for a closer read, not a verdict"
111,gba-bbmp-101,Kudlu Anekal & Doddakere (Hosakere),Kudlu Anekal & Doddakere / Anekal Taluk,BBMP,South,Kudlu,13.22,monsoon (Jun-Sep) 2026,9,Watch / verify,steady; monitor,C,C1=B(A/B) C3=A(A/B) C4=C(B/C) C5=C(B/C/D) C8=A G2=D,High (lifted: cascade),Medium,Steady,none,,,D,1.75,low,0.7015,0.2111,0.0746,0.1998,14.3,58.6,0.806,0.0,0.0,0.43,6,1211,2,low,assignment_unverified,C1 candidates A/B; C3 candidates A/B; C4 candidates B/C; C5 candidates B/C/D
112,gba-bbmp-105,Herohalli Lake Bangalore North,Herohalli Lake Bangalore North,BBMP,West,Herohalli,10.29,monsoon (Jun-Sep) 2026,4,Watch / verify,steady; monitor,C,C1=B(B/C) C3=B(A/B) C4=C(C/D) C5=D(D/E) C8=A G2=D,High (lifted: cascade),High,Steady,none,,,D,1.75,low,0.664,0.2955,0.0808,0.347,59.3,71.4,0.709,0.0222,-0.005,0.29,4,6212,1,medium,,C1 candidates B/C; C3 candidates A/B; C4 candidates C/D; C5 candidates D/E
113,gba-bbmp-009,Haraluru kere,Haraluru kere,BBMP,South,Kasavanahalli,8.56,monsoon (Jun-Sep) 2026,7,Watch / verify,steady; monitor,C,C1=B(B/C) C3=A(A/B) C4=C(C/D) C5=C(C/D) C8=A G2=D,High (lifted: cascade),High,Steady,none,,,D,1.75,low,0.6808,0.291,0.0848,0.1709,30.8,71.4,0.709,0.0,0.0,0.43,5,2826,3,medium,,C1 candidates B/C; C3 candidates A/B; C4 candidates C/D; C5 candidates C/D
114,gba-bbmp-012,Doddakannelli Lake,Doddakanahalli kere,BBMP,East,Gunjur,8.04,monsoon (Jun-Sep) 2026,7,Watch / verify,steady; monitor,C,C1=C C3=A(A/B) C4=B(A/B) C5=D(C/D) C8=C G2=D,High (lifted: cascade),High,Steady,none,,,D,1.75,low,0.5755,0.1039,0.0744,0.2787,67.6,35.3,0.593,0.0,-0.013,2.71,2,2183,2,medium,,C3 candidates A/B; C4 candidates A/B; C5 candidates C/D
115,gba-bbmp-147,Amruthalli Lake,Amruthahalli Lake,BBMP,North,Amruthahalli,7.74,monsoon (Jun-Sep) 2026,7,Watch / verify,"vegetation 40% alone, not a verdict",C,C1=C(C/D) C3=B(B/C) C4=D(D/E) C5=C(B/C/D) C8=B G2=E,High (lifted: cascade),High,Steady,none,,,E,1.75,low,0.303,0.3957,0.0894,0.1768,91.7,12.5,0.54,0.0487,0.02,0.57,1,5437,1,medium,,"C1 candidates C/D; C3 candidates B/C; C4 candidates D/E; C5 candidates B/C/D; single severe input G2: flagged for a closer read, not a verdict"
116,gba-bbmp-160,Kempambudhi Lake,Kempambudhi Lake,BBMP,West,Kempambudhi Ward,7.69,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=B(A/B/C) C3=B(A/B) C4=C(B/C/D) C5=D(D/E) C8=A G2=D,High (lifted: cascade),High,Steady,none,,,D,1.75,low,0.7115,0.2679,0.0855,0.3644,63.6,27.3,0.791,0.0256,0.017,0.43,0,8851,2,medium,,C1 candidates A/B/C; C3 candidates A/B; C4 candidates B/C/D; C5 candidates D/E
117,gba-bbmp-050,Kowdenahalli lake,Kowdenahalli lake,BBMP,East,Ramamurthy Nagara,5.9,monsoon (Jun-Sep) 2026,7,Watch / verify,"vegetation 32% alone, not a verdict",C,C1=C(B/C) C3=A(A/B) C4=D(C/D/E) C5=D(C/D) C8=A G2=E,High (lifted: cascade),High,Steady,none,,,E,1.75,low,0.5917,0.3239,0.0938,0.2394,50.0,32.4,0.679,0.0,0.0,0.29,2,4204,2,medium,,"C1 candidates B/C; C3 candidates A/B; C4 candidates C/D/E; C5 candidates C/D; single severe input G2: flagged for a closer read, not a verdict"
118,gba-bbmp-127,Kenchanapura Govt. Lake,Kenchanpura lake,BBMP,,,5.05,monsoon (Jun-Sep) 2026,6,Watch / verify,"vegetation 41% alone, not a verdict",C,C1=D(C/D/E) C3=A(A/B) C4=E(D/E) C5=C(B/C/D) C8=A,High (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,1.75,low,0.2872,0.4092,0.0994,0.1873,76.0,56.2,0.425,0.0,-0.009,0.29,2,507,1,medium,,"C1 candidates C/D/E; C3 candidates A/B; C4 candidates D/E; C5 candidates B/C/D; single severe input C4: flagged for a closer read, not a verdict"
119,gba-bbmp-045,Horamavu Lake,Horamavu Lake,BBMP,East,Hoysala Nagara East,5.04,monsoon (Jun-Sep) 2026,11,Watch / verify,steady; monitor,C,C1=D(C/D) C3=A(A/B) C4=B(A/B/C) C5=C(B/C) C8=C,High (lifted: cascade),High,Steady,none,,,,1.75,low,0.3438,0.1872,0.0904,0.1147,35.7,42.4,0.445,0.0071,0.007,4.43,3,3294,1,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates A/B/C; C5 candidates B/C
120,gba-bda-004,Kommagatta Lake,Kommaghatta Lake,BDA,,,11.63,monsoon (Jun-Sep) 2026,8,Watch / verify,steady; monitor,C,C1=D(C/D) C3=A(A/B) C4=D(C/D/E) C5=C(B/C/D) C8=A,Medium,High,Steady,none,,,,1.45,low,0.4274,0.377,0.0807,0.1311,6.7,83.9,0.476,0.0023,0.002,0,0,3223,3,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates C/D/E; C5 candidates B/C/D
121,gba-bbmp-041,K R Puram (BEML) / Benniganahalli Lake (Benniganahalli Lake),K R Puram (BEML)/ Benniganahalli Lake,BBMP,East,K.S. Nissar Ahmed Ward,8.03,monsoon (Jun-Sep) 2026,8,Watch / verify,"holds 46% of its extent alone, not a verdict",C,C1=D(C/D) C3=B(A/B) C4=B(A/B/C) C5=D(C/D) C8=C G2=E,Medium,High,Steady,none,,,E,1.45,low,0.4347,0.1721,0.0825,0.2353,71.9,77.1,0.456,0.0249,-0.094,3.29,1,407,1,medium,,"C1 candidates C/D; C3 candidates A/B; C4 candidates A/B/C; C5 candidates C/D; single severe input G2: flagged for a closer read, not a verdict"
122,gba-bbmp-114,H Gollahalli kere (Hemmigepura Kere),H Gollahalli kere/ Bangalore South,BBMP,,,5.73,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=C(B/C/D) C3=A(A/B) C4=D(C/D/E) C5=C(B/C/D) C8=B,Medium,High,Steady,none,,,,1.45,low,0.49,0.3299,0.095,0.1596,87.0,75.9,0.609,0.0,0.0,0.57,0,346,3,medium,,C1 candidates B/C/D; C3 candidates A/B; C4 candidates C/D/E; C5 candidates B/C/D
123,gba-bbmp-150,Narsipura Lake,Narasipura Lake 20,BBMP,North,Vidyaranyapura,5.47,monsoon (Jun-Sep) 2026,9,Watch / verify,steady; monitor,C,C1=C(B/C/D) C3=A(A/B) C4=A(A/B) C5=C(B/C) C8=D G2=D,Medium,High,Steady,none,,,D,1.45,low,0.5691,0.0448,0.0736,0.1063,35.7,3.3,0.598,0.0,-0.103,5.57,1,1308,2,medium,,C1 candidates B/C/D; C3 candidates A/B; C4 candidates A/B; C5 candidates B/C
124,gba-bbmp-087,Kothanuru Lake (Krishna Nagara Lake),Kothanuru Lake,BBMP,South,Harinagar,4.59,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=D(C/D) C3=A(A/B) C4=B(A/B) C5=C(B/C) C8=B G2=D,Medium (lifted: cascade),Medium,Steady,none,,,D,1.45,low,0.3473,0.1134,0.0842,0.1292,53.6,41.4,0.426,0.0,0.0,0.86,3,1714,1,low,assignment_unverified,C1 candidates C/D; C3 candidates A/B; C4 candidates A/B; C5 candidates B/C
125,gba-bbmp-109,Dubasi Palya Kere,Dubasipalya lake (Valagerehalli),BBMP,West,Shivanapalya,4.19,monsoon (Jun-Sep) 2026,7,Watch / verify,"vegetation 54% alone, not a verdict",C,C1=D(C/D/E) C3=B(B/C) C4=E C5=C(B/C) C8=A,Medium (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,1.45,low,0.3058,0.5439,0.1057,0.1325,,33.3,0.381,0.0405,0.022,0.43,2,231,1,medium,,"C1 candidates C/D/E; C3 candidates B/C; C5 candidates B/C; single severe input C4: flagged for a closer read, not a verdict"
126,gba-bbmp-027,Seetharampalya Lake,SitaramPalya lake,BBMP,East,Bharath Aikya Ward,4.06,monsoon (Jun-Sep) 2026,9,Watch / verify,"vegetation 38% alone, not a verdict",C,C1=C(B/C/D) C3=A(A/B) C4=D(C/D/E) C5=D(D/E) C8=A G2=E,Medium (lifted: cascade),High,Steady,none,,,E,1.45,low,0.4858,0.3825,0.1047,0.3855,80.0,33.3,0.632,0.0,0.0,0.29,4,259,1,medium,,"C1 candidates B/C/D; C3 candidates A/B; C4 candidates C/D/E; C5 candidates D/E; single severe input G2: flagged for a closer read, not a verdict"
127,gba-bbmp-103,Andrahalli Lake,Handrahalli kere Bangalore North,BBMP,West,Andrahalli,3.7,monsoon (Jun-Sep) 2026,5,Watch / verify,"holds 50% of its extent alone, not a verdict",C,C1=D(C/D) C3=B(A/B) C4=C(B/C/D) C5=B(B/C) C8=A G2=E,Medium (lifted: cascade),High,Steady,none,,,E,1.45,low,0.4618,0.2368,0.0998,0.0806,14.3,34.4,0.498,0.01,0.0,0.43,1,6391,1,medium,,"C1 candidates C/D; C3 candidates A/B; C4 candidates B/C/D; C5 candidates B/C; single severe input G2: flagged for a closer read, not a verdict"
128,gba-bbmp-083,Subedharana Lake,Subedarana Kere,BBMP,South,Yelenahalli,3.64,monsoon (Jun-Sep) 2026,6,Watch / verify,"vegetation 47% alone, not a verdict",C,C1=D(C/D) C3=A(A/B) C4=E(D/E) C5=C(B/C/D) C8=A,Medium (lifted: cascade),High,Steady,none,,,,1.45,low,0.3985,0.4731,0.111,0.1601,16.0,66.7,0.468,0.0,0.0,0.43,2,276,1,medium,,"C1 candidates C/D; C3 candidates A/B; C4 candidates D/E; C5 candidates B/C/D; single severe input C4: flagged for a closer read, not a verdict"
129,gba-bbmp-062,Puttenhalli Lake,Puttenahalli Lake (Next to Brigade Millenium),BBMP,South,Puttenahalli,3.48,monsoon (Jun-Sep) 2026,10,Watch / verify,steady; monitor,C,C1=D(D/E) C3=A(A/B) C4=D(C/D/E) C5=C(B/C) C8=A G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.45,low,0.2659,0.3583,0.1095,0.1118,10.0,41.7,0.355,0.0029,-0.004,0.29,3,1503,1,medium,,C1 candidates D/E; C3 candidates A/B; C4 candidates C/D/E; C5 candidates B/C
130,gba-bbmp-102,Kudlu Chikka Kere (Haraluru Lake),Kudlu Chikka Kere / and Bengaluru South Taluk Anekal Taluk,BBMP,South,Kudlu,3.32,monsoon (Jun-Sep) 2026,7,Watch / verify,steady; monitor,C,C1=B(A/B) C3=A(A/B) C4=C(B/C/D) C5=C(B/C/D) C8=B G2=D,Medium (lifted: cascade),Medium,Steady,none,,,D,1.45,low,0.7261,0.2251,0.1039,0.1676,20.0,18.2,0.831,0.0,-0.252,0.57,6,1181,1,low,assignment_unverified,C1 candidates A/B; C3 candidates A/B; C4 candidates B/C/D; C5 candidates B/C/D
131,gba-bbmp-077,Basapura Lake-2,Basapura Lake-2 / Bangalore South,BBMP,South,Chikkathoguru,2.7,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=C(B/C/D) C3=A(A/B) C4=C(B/C/D) C5=D(C/D) C8=B G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.45,low,0.4884,0.2503,0.1132,0.2213,90.3,55.9,0.559,0.0,0.0,1.71,3,916,2,medium,,C1 candidates B/C/D; C3 candidates A/B; C4 candidates B/C/D; C5 candidates C/D
132,gba-bbmp-099,Singasandra Lake South Bangalore South,Singasandra Lake South Bangalore South,BBMP,South,Bandepalya,2.57,monsoon (Jun-Sep) 2026,9,Watch / verify,"holds 42% of its extent alone, not a verdict",C,C1=D(C/D/E) C3=A(A/B) C4=C(B/C/E) C5=C(B/C/D) C8=E G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.45,low,0.3775,0.2879,0.1216,0.1421,18.5,31.2,0.415,0.0,0.0,11.71,2,1360,1,medium,,"C1 candidates C/D/E; C3 candidates A/B; C4 candidates B/C/E; C5 candidates B/C/D; single severe input C8: flagged for a closer read, not a verdict"
133,gba-bbmp-076,Basapura Lake-1,Basapura Lake-1,BBMP,South,Chikkathoguru,2.29,monsoon (Jun-Sep) 2026,6,Watch / verify,"chlorophyll proxy 0.45 alone, not a verdict",C,C1=B(A/B/C) C3=A(A/B) C4=C(B/C/E) C5=E(D/E) C8=A G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.45,low,0.7006,0.2973,0.1223,0.4502,60.0,27.3,0.823,0.0,-0.432,0,5,269,1,medium,,"C1 candidates A/B/C; C3 candidates A/B; C4 candidates B/C/E; C5 candidates D/E; single severe input C5: flagged for a closer read, not a verdict"
134,gba-bda-003,Ramasandra Lake,Ramasandra Lake,BDA,,,2.02,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=D(C/D/E) C3=A(A/B) C4=C(B/C/E) C5=D(B/D) C8=A,Medium (lifted: cascade),Medium,Steady,none,,,,1.45,low,0.2082,0.2777,0.1246,0.2051,68.8,30.0,0.334,0.0,0.0,0.29,3,1572,2,low,assignment_unverified,C1 candidates C/D/E; C3 candidates A/B; C4 candidates B/C/E; C5 candidates B/D
135,gba-bbmp-173,Lakshmipura Lake,Lakshmipura Lake,BBMP,North,Abbigere,1.89,monsoon (Jun-Sep) 2026,5,Watch / verify,steady; monitor,C,C1=C(B/C/D) C3=A(A/B) C4=C(B/C/D) C5=D(C/D) C8=A,Medium (lifted: cascade),High,Steady,none,,,,1.45,low,0.3206,0.2655,0.1306,0.2761,90.0,34.4,0.551,0.0,-0.055,0.29,2,105,2,medium,,C1 candidates B/C/D; C3 candidates A/B; C4 candidates B/C/D; C5 candidates C/D
136,gba-bbmp-051,Vijinapura Lake,Vijanapura Lake,BBMP,East,Kotthur,1.72,monsoon (Jun-Sep) 2026,8,Watch / verify,"vegetation 36% alone, not a verdict",C,C1=C(A/C) C3=A(A/B) C4=D(C/D/E) C5=D(B/D/E) C8=A G2=E,Medium (lifted: cascade),High,Steady,none,,,E,1.45,low,0.5627,0.363,0.1393,0.2494,66.7,45.9,0.691,0.0005,0.001,0.43,3,7173,1,medium,,"C1 candidates A/C; C3 candidates A/B; C4 candidates C/D/E; C5 candidates B/D/E; single severe input G2: flagged for a closer read, not a verdict"
137,gba-bbmp-074,Kalena Agrahara Lake,Kalena Agrahara Lake,BBMP,South,Yelenahalli,1.71,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=D(C/D) C3=A(A/B) C4=B(A/B/C) C5=C(B/C) C8=C G2=D,Medium (lifted: cascade),High,Steady,none,,,D,1.45,low,0.4068,0.1356,0.1185,0.1086,58.8,41.2,0.49,0.0,-0.276,3.43,2,655,2,medium,,C1 candidates C/D; C3 candidates A/B; C4 candidates A/B/C; C5 candidates B/C
138,gba-bbmp-048,B. Narayanapura Lake,B. Narayanapura Lake,BBMP,East,A Narayanapura,1.25,monsoon (Jun-Sep) 2026,8,Watch / verify,"vegetation 47% alone, not a verdict",C,C1=C(A/C/D) C4=E(D/E) C5=C(C/D) C8=B G2=D,Medium (lifted: cascade),Unknown,Steady,none,,,D,1.45,insufficient,0.4049,0.4691,0.1676,0.1956,76.2,42.1,0.603,,,0.57,2,569,1,medium,,"C1 candidates A/C/D; C4 candidates D/E; C5 candidates C/D; single severe input C4: flagged for a closer read, not a verdict"
139,gba-bbmp-015,Sheelavathana Kere,Shilavanthana kere,BBMP,East,Whitefield,4.59,monsoon (Jun-Sep) 2026,10,Watch / verify,"chlorophyll proxy 0.21 alone, not a verdict",C,C1=C(B/C) C3=A(A/B) C4=C(B/C/D) C5=D(B/D) C8=A G2=E,Low,High,Steady,none,,,E,1.15,low,0.5916,0.2064,0.0942,0.2137,42.4,40.0,0.687,0.0,0.0,0.43,1,3109,3,medium,,"C1 candidates B/C; C3 candidates A/B; C4 candidates B/C/D; C5 candidates B/D; single severe input G2: flagged for a closer read, not a verdict"
140,gba-bbmp-037,Devasandra lake,Devsandra kere,BBMP,East,Devasandra,4.26,monsoon (Jun-Sep) 2026,8,Watch / verify,"regulator E alone, not a verdict",C,C1=C(C/D) C3=A(A/B) C4=B(A/B/C) C5=C(C/D) C8=B G2=E,Low,High,Steady,none,,,E,1.15,low,0.5147,0.1615,0.0925,0.1704,34.6,29.6,0.528,0.0,0.0,0.71,1,1376,1,medium,,"C1 candidates C/D; C3 candidates A/B; C4 candidates A/B/C; C5 candidates C/D; single severe input G2: flagged for a closer read, not a verdict"
141,gba-bbmp-011,Deverabisanahalli Lake,Devarabeesanahalli Lake,BBMP,East,Shivanasamudra Ward,4.08,monsoon (Jun-Sep) 2026,6,Watch / verify,"vegetation 31% alone, not a verdict",C,C1=C(C/D) C3=B(B/C) C4=D(C/D/E) C5=C(B/C) C8=C G2=E,Low,High,Steady,none,,,E,1.15,low,0.5033,0.3061,0.1022,0.1439,75.9,79.3,0.538,0.0472,0.047,3.43,0,1468,1,medium,,"C1 candidates C/D; C3 candidates B/C; C4 candidates C/D/E; C5 candidates B/C; single severe input G2: flagged for a closer read, not a verdict"
142,gba-bbmp-069,Subramanyapura Lake,Subramanyapura Lake,BBMP,South,Subramanyapura,3.78,monsoon (Jun-Sep) 2026,4,Watch / verify,steady; monitor,C,C1=C(B/C) C3=A(A/B) C4=D(C/D/E) C5=D(C/D) C8=B G2=D,Low,High,Steady,none,,,D,1.15,low,0.5296,0.3191,0.1069,0.2701,84.6,41.7,0.698,0.0029,-0.597,0.57,0,2008,4,medium,,C1 candidates B/C; C3 candidates A/B; C4 candidates C/D/E; C5 candidates C/D
143,gba-bbmp-023,Hoodi Giddanakere Lake (Hoodi Lake),Hoodi Giddanakere Lake,BBMP,East,Hoodi,3.42,monsoon (Jun-Sep) 2026,11,Watch / verify,works on record,C,C1=D(C/D/E) C3=A(A/B) C4=C(B/C/D) C5=C(B/C/D) C8=B,Low,Medium,Steady,works underway,works approaching completion by Nov 2025 (7 lakes; 240 acres),compilation,,1.15,low,0.2867,0.201,0.1009,0.1483,56.2,35.0,0.409,0.0012,-0.999,0.71,1,1433,1,low,assignment_unverified,C1 candidates C/D/E; C3 candidates A/B; C4 candidates B/C/D; C5 candidates B/C/D
144,gba-bbmp-049,Bhattarahalli Lake,Bhattarahalli Lake,BBMP,East,Bhattarahalli,3.35,monsoon (Jun-Sep) 2026,11,Watch / verify,"regulator E alone, not a verdict",C,C1=C(B/C) C3=A(A/B) C4=A(A/B) C5=C(B/C/D) C8=B G2=E,Low,High,Steady,none,,,E,1.15,low,0.5188,0.0958,0.0868,0.125,26.7,64.9,0.646,0.0,-0.179,1.86,0,1001,1,medium,,"C1 candidates B/C; C3 candidates A/B; C4 candidates A/B; C5 candidates B/C/D; single severe input G2: flagged for a closer read, not a verdict"
145,gba-bbmp-064,Haralakunte Lake (Somasandra Palya Kere) (Somasundarapalya Lake),Haralakunte Lake (Somasandra Palya Kere),BBMP,South,Hosapalya,2.83,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=B(A/B/C) C3=A(A/B) C4=A C5=C(B/C) C8=C G2=D,Low,High,Steady,none,,,D,1.15,low,0.6855,0.0239,0.0708,0.1009,24.2,34.3,0.77,0.0,-0.658,3.86,1,494,1,medium,,C1 candidates A/B/C; C3 candidates A/B; C5 candidates B/C
146,gba-bbmp-164,Byrasandra,Byrasandra,BBMP,Central,BHEL Ward,2.66,monsoon (Jun-Sep) 2026,10,Watch / verify,steady; monitor,C,C1=B(A/B/C) C3=A(A/B) C4=C(B/C/D) C5=D(C/D) C8=C G2=D,Low,High,Steady,none,,,D,1.15,low,0.6542,0.2853,0.1132,0.2427,70.6,33.3,0.731,0.0,-0.333,2.71,0,3248,1,medium,,C1 candidates A/B/C; C3 candidates A/B; C4 candidates B/C/D; C5 candidates C/D
147,gba-bbmp-005,Varanasi Lake (Jimkenahalli Kere),Varanasi Lake,BBMP,East,Byrathi,2.14,monsoon (Jun-Sep) 2026,11,Watch / verify,"holds 32% of its extent alone, not a verdict",C,C1=D(D/E) C3=A(A/B) C4=A C5=B(B/C) C8=D G2=E,Low,High,Steady,none,,,E,1.15,low,0.2606,0.0005,0.054,0.0834,34.5,14.3,0.315,0.0,0.0,6.14,1,2879,1,medium,,"C1 candidates D/E; C3 candidates A/B; C5 candidates B/C; single severe input G2: flagged for a closer read, not a verdict"
148,gba-bbmp-073,Nyanappanahalli Lake / Akshayanagara Lake (Akshaynagar Lake),Nyanappanahalli Lake / Akshayanagara Lake,BBMP,South,Vijaya Bank Layout,1.33,monsoon (Jun-Sep) 2026,6,Watch / verify,steady; monitor,C,C1=C(B/C/D) C4=D(C/D/E) C5=B(A/B/D) C8=B G2=D,Low,Unknown,Steady,none,,,D,1.15,low,0.3951,0.3957,0.1593,0.0958,26.3,15.6,0.505,,,0.86,1,353,2,medium,,C1 candidates B/C/D; C4 candidates C/D/E; C5 candidates A/B/D
149,gba-bbmp-052,Halasuru lake,Ulsoor / Bangalore North,BBMP,Central,K Kamaraj Ward,39.96,monsoon (Jun-Sep) 2026,7,Watch / verify,works on record,B,C1=B(A/B) C3=C(B/C) C4=B(B/C) C5=D(C/D) C8=B,High,High,Rising,works underway,NDMF grant 2025 (7 lakes; Rs 65 cr); NDMF desilting works 2026 (Bengaluru Central City Corporation; lake drained from February 2026; Rs 4 cr; refill expected three to four months after the works) Rs 4 cr,compilation; press,,1.55,low,0.7733,0.1751,0.0628,0.2802,41.9,90.3,0.8,0.0569,0.055,0.86,1,13168,2,medium,,C1 candidates A/B; C3 candidates B/C; C4 candidates B/C; C5 candidates C/D
150,gba-bbmp-031,Ramapura Kere,Rampura kere,BBMP,,,45.28,monsoon (Jun-Sep) 2026,4,Watch / verify,"chlorophyll proxy 0.32 alone, not a verdict",B,C1=B(A/B) C3=A(A/B) C4=B(A/B/C) C5=D(C/D/E) C8=A G2=E,High,High,Steady,none,,,E,1.3,low,0.7531,0.1563,0.0614,0.3181,74.1,11.8,0.818,0.0,0.0,0.29,0,18237,5,medium,,"C1 candidates A/B; C3 candidates A/B; C4 candidates A/B/C; C5 candidates C/D/E; single severe input G2: flagged for a closer read, not a verdict"
151,gba-bbmp-036,Seegehalli Lake,Sigehalli Lake,BBMP,East,Basavanapura,8.5,monsoon (Jun-Sep) 2026,9,Watch / verify,"regulator E alone, not a verdict",B,C1=B(B/C) C3=A(A/B) C4=B(A/B/C) C5=C(A/C/D) C8=B G2=E,High (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,E,1.3,low,0.7095,0.142,0.077,0.1379,30.3,28.9,0.751,0.0,0.0,0.57,0,10468,4,medium,,"C1 candidates B/C; C3 candidates A/B; C4 candidates A/B/C; C5 candidates A/C/D; single severe input G2: flagged for a closer read, not a verdict"
152,gba-bbmp-153,Palanahalli Lake,Palanahalli Lake,BBMP,North,Kogilu,7.33,pre-monsoon (Mar-May) 2026,20,Watch / verify,"chlorophyll proxy 0.47 alone, not a verdict",B,C1=A(A/B) C3=B(A/B) C4=C(B/C/D) C5=E(D/E) C8=A,High (lifted: cascade),High,Steady,none,,,,1.3,low,0.7315,0.2597,0.0856,0.4726,78.5,5.4,0.873,0.0123,-0.088,0.29,4,3688,1,medium,,"C1 candidates A/B; C3 candidates A/B; C4 candidates B/C/D; C5 candidates D/E; single severe input C5: flagged for a closer read, not a verdict"
153,gba-bbmp-034,Basavanapura Kere,Chikkabasavanapura Lake,BBMP,East,Krishnanagar,3.93,monsoon (Jun-Sep) 2026,9,Watch / verify,"chlorophyll proxy 0.32 alone, not a verdict",B,C1=B(A/B) C3=A(A/B) C4=B(B/C) C5=D(D/E) C8=B G2=E,Medium (lifted: cascade),High,Steady,none,,,E,1.0,low,0.7132,0.1983,0.096,0.3249,69.0,52.8,0.832,0.0,-1.0,1,2,1310,1,medium,,"C1 candidates A/B; C3 candidates A/B; C4 candidates B/C; C5 candidates D/E; single severe input G2: flagged for a closer read, not a verdict"
154,gba-bbmp-201,Medi agrahara,Medi agrahara,BBMP,,,1.73,monsoon (Jun-Sep) 2026,6,Watch / verify,"holds 46% of its extent alone, not a verdict",B,C1=D(C/D/E) C3=E C4=A C5=B C8=B,Low,Low,Rising,none,,,,0.95,low,0.2893,0.0024,0.0594,0.0261,0.0,0.0,0.455,1.0,1.0,0.71,1,98,3,medium,,"C1 candidates C/D/E; single severe input C3: flagged for a closer read, not a verdict"
155,gba-bbmp-162,Deepanjali Nagara lake,Deepanjali Nagara lake,BBMP,West,Deepanjali Nagara,1.42,monsoon (Jun-Sep) 2026,5,Watch / verify,"built 100% alone, not a verdict",B,C1=B(A/B/C) C3=E C4=C(A/C/D) C5=B(B/C) C8=B,Low,Low,Rising,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,0.95,low,0.5132,0.2197,0.1363,0.0691,6.7,5.9,0.784,1.0,0.779,1,1,247,1,medium,,"C1 candidates A/B/C; C4 candidates A/C/D; C5 candidates B/C; single severe input C3: flagged for a closer read, not a verdict"
